city,region,address,price,price_for_square_metre,total_area,floor,num_of_floors,num_of_rooms,subway,apartment_complex
Вінниця,Ленінський,вул. Пирогова,67 500 $,1 055 $,64 м²,3,10,3,,
Вінниця,Замостянський,вул. Острозького,80 000 $,1 636 $,48.9 м²,4,9,1,,
Софіївська Борщагівка,,"вул. Соборна, 126/14",48 000 $,1 260 $,38.1 м²,10,10,1,,ЖК Софіївська сфера
Одеса,Приморський,"плато Гагарінське, 5А/1",65 000 $,1 354 $,48 м²,6,22,1,,ЖК Перша перлина
Київ,Печерський,"вул. Михайла Бойчука, 41Б",230 000 $,3 108 $,74 м²,25,26,2,Звіринецька(Дружби народів),ЖК Новопечерська Вежа
Полтава,Київський,"вул. Башкирцевої Марії, 33",51 800 $,1 292 $,40.1 м²,8,9,1,,
Київ,Дарницький,"вул. Ахматової Анни, 43",120 000 $,1 143 $,105 м²,15,16,3,Осокорки,
Київ,Печерський,вул. Андрія Верхогляда(Драгомирова),455 000 $,3 663 $,124.2 м²,21,30,3,Звіринецька(Дружби народів),ЖК Новопечерські Липки
Київ,Подільський,"вул. Сергія Данченка, 32",119 000 $,1 700 $,70 м²,17,17,2,,
Вінниця,Замостянський,"вул. Замостянська, 14",46 500 $,850 $,54.7 м²,2,3,3,,
Дніпро,Амур-Нижньодніпровський,вул. Мольєра,58 410 $,900 $,64.9 м²,2,7,2,,
Ірпінь,,вул. Університетська(Карла Маркса),45 000 $,1 000 $,45 м²,12,17,2,,ЖК City Park 2
